종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,업종명,조회일자,종목명_전처리,종목코드,매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),시가총액,시가총액순위,상장주식수,액면가l매매단위,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),투자의견l목표주가,52주최고l최저,PERlEPS(2022.06),추정PERlEPS,PBRlBPS (2022.06),배당수익률,동일업종 PER,동일업종 등락률,배당수익률l2021.12,PERlEPS(2021.12),PBRlBPS (2021.12),PERlEPS(2022.03),PBRlBPS (2022.03),PERlEPS(2021.09),PBRlBPS (2021.09)
에스엠 *,77000.0,3700.0,+5.05%,77000.0,77100.0,1777395.0,136063.0,1281848.0,방송과엔터테인먼트,2022-09-20,에스엠,041510,2116.0,249.0,196.0,11.76,9.26,,,,,738.0,99.34,,,,,,"1조  8,322  억원",코스닥 16위,23794401,500원  l  1주,23794401,3114884,13.09%,"4.00매수  l  98,375","90,000  l  54,500","11.31배  l  6,806원","23.00배  l  3,347원","2.74배  l  28,075원",,31.95배,+1.39%,0.26%,,,,,,
팬엔터테인먼트 *,3610.0,155.0,+4.49%,3590.0,3610.0,288378.0,1043.0,122408.0,방송과엔터테인먼트,2022-09-20,팬엔터테인먼트,068050,,,,,,,,,,,,,,,,,"1,000  억원",코스닥 843위,27694076,500원  l  1주,27694076,262186,0.95%,N/A  l  N/A,"7,590  l  2,850",42.98배  l  84원,N/A  l  N/A,"1.33배  l  2,709원",,31.95배,+1.39%,,,,,,,
대원미디어 *,14050.0,500.0,+3.69%,14000.0,14050.0,32999.0,459.0,57079.0,방송과엔터테인먼트,2022-09-20,대원미디어,048910,689.0,49.0,,7.11,,,,,,262.0,51.65,,,,,,"1,767  억원",코스닥 466위,12578946,500원  l  1주,12578946,376241,2.99%,"4.00매수  l  23,000","50,700  l  10,300",19.04배  l  738원,N/A  l  N/A,"1.73배  l  8,103원",,31.95배,+1.39%,,,,,,,
LG헬로비전,5150.0,160.0,+3.21%,5150.0,5160.0,902560.0,4703.0,342007.0,방송과엔터테인먼트,2022-09-20,LG헬로비전,037560,2794.0,136.0,,4.88,,,,,,110.0,45.47,,,,,,"3,989  억원",코스피 376위,77446865,"2,500원  l  1주",37948964,3248970,8.56%,"3.17중립  l  6,717","8,030  l  4,285",12.72배  l  405원,11.00배  l  460원,"0.60배  l  8,530원",,31.95배,+1.39%,2.14%,,,,,,
IHQ,580.0,18.0,+3.20%,579.0,580.0,396382.0,228.0,631988.0,방송과엔터테인먼트,2022-09-20,IHQ,003560,,,,,,,,,,,,,,,,,"1,006  억원",코스피 809위,173527645,500원  l  1주,173527645,2886227,1.66%,N/A  l  N/A,"1,935  l  561",N/A  l  -136원,N/A  l  N/A,0.77배  l  752원,,31.95배,+1.39%,,,,,,,
위지윅스튜디오 *,22300.0,550.0,+2.53%,22250.0,22300.0,164779.0,3672.0,243250.0,방송과엔터테인먼트,2022-09-20,위지윅스튜디오,299900,493.0,65.0,68.0,13.18,13.79,,,,,84.0,258.36,,,,,,"9,536  억원",코스닥 52위,42762221,500원  l  1주,42762221,1802544,4.22%,"4.00매수  l  31,000","52,600  l  15,900",N/A  l  -483원,N/A  l  N/A,"5.40배  l  4,133원",,31.95배,+1.39%,,,,,,,
NEW *,6770.0,150.0,+2.27%,6750.0,6770.0,52697.0,355.0,110233.0,방송과엔터테인먼트,2022-09-20,NEW,160550,,,,,,,,,,,,,,,,,"1,889  억원",코스닥 433위,27906106,500원  l  1주,27906106,2180123,7.81%,N/A  l  N/A,"20,300  l  5,850",N/A  l  -682원,N/A  l  N/A,"1.43배  l  4,746원",,31.95배,+1.39%,,,,,,,
키이스트 *,7910.0,170.0,+2.20%,7910.0,7930.0,19432.0,153.0,49061.0,방송과엔터테인먼트,2022-09-20,키이스트,054780,,,,,,,,,,,,,,,,,"1,546  억원",코스닥 558위,19547793,500원  l  1주,19547793,1523977,7.80%,N/A  l  N/A,"17,450  l  6,420",143.82배  l  55원,N/A  l  N/A,"2.28배  l  3,475원",,31.95배,+1.39%,,,,,,,
애니플러스 *,2455.0,50.0,+2.08%,2455.0,2460.0,79165.0,194.0,105106.0,방송과엔터테인먼트,2022-09-20,애니플러스,310200,134.0,36.0,32.0,27.15,23.82,,,,,,,,,,,,853  억원,코스닥 951위,34738898,100원  l  1주,34738898,779367,2.24%,N/A  l  N/A,"7,020  l  2,360",5.23배  l  469원,N/A  l  N/A,"1.67배  l  1,474원",,31.95배,+1.39%,,,,,,,
덱스터 *,12800.0,250.0,+1.99%,12800.0,12850.0,128621.0,1655.0,210252.0,방송과엔터테인먼트,2022-09-20,덱스터,206560,197.0,19.0,16.0,9.64,8.12,,,,,63.0,199.31,,,,,,"3,253  억원",코스닥 223위,25410336,500원  l  1주,25410336,169499,0.67%,"4.00매수  l  18,000","53,000  l  11,500",N/A  l  -343원,N/A  l  N/A,"6.27배  l  2,040원",,31.95배,+1.39%,,,,,,,
삼화네트웍스 *,3055.0,55.0,+1.83%,3050.0,3055.0,182002.0,556.0,353147.0,방송과엔터테인먼트,2022-09-20,삼화네트웍스,046390,,,,,,,,,,,,,,,,,"1,319  억원",코스닥 665위,43172933,200원  l  1주,43172933,1458606,3.38%,N/A  l  N/A,"5,920  l  2,575",8.51배  l  359원,N/A  l  N/A,"2.32배  l  1,317원",,31.95배,+1.39%,,,,,,,
티비씨 *,1225.0,20.0,+1.66%,1225.0,1230.0,434820.0,530.0,845779.0,방송과엔터테인먼트,2022-09-20,티비씨,033830,,,,,,,,,,,,,,,,,"1,225  억원",코스닥 702위,100000000,500원  l  1주,0,0,0.00%,N/A  l  N/A,"3,155  l  891",24.02배  l  51원,N/A  l  N/A,"0.98배  l  1,246원",,31.95배,+1.39%,1.06%,,,,,,
JYP Ent. *,62300.0,1000.0,+1.63%,62200.0,62300.0,230792.0,14277.0,476046.0,방송과엔터테인먼트,2022-09-20,JYP Ent.,035900,844.0,273.0,220.0,32.4,26.02,,,,,578.0,106.15,,,,,,"2조  2,115  억원",코스닥 10위,35497492,500원  l  1주,35497492,10181504,28.68%,"4.00매수  l  77,794","66,200  l  37,600","26.80배  l  2,325원","31.00배  l  2,034원","7.76배  l  8,027원",,31.95배,+1.39%,0.59%,,,,,,
아이오케이 *,598.0,9.0,+1.53%,597.0,598.0,256969.0,153.0,543210.0,방송과엔터테인먼트,2022-09-20,아이오케이,078860,,,,,,,,,,,,,,,,,575  억원,코스닥 1227위,96126472,500원  l  1주,96126472,1338209,1.39%,N/A  l  N/A,"2,520  l  587",N/A  l  -425원,N/A  l  N/A,"0.41배  l  1,463원",,31.95배,+1.39%,,,,,,,
초록뱀미디어 *,14000.0,200.0,+1.45%,13950.0,14000.0,36370.0,507.0,97318.0,방송과엔터테인먼트,2022-09-20,초록뱀미디어,047820,,,,,,,,,,,,,,,,,"3,040  억원",코스닥 239위,21712702,"5,000원  l  1주",21712702,0,0.00%,N/A  l  N/A,"42,700  l  13,450",N/A  l  -46원,N/A  l  N/A,"1.18배  l  11,903원",,31.95배,+1.39%,,,,,,,
SBS,36800.0,500.0,+1.38%,36800.0,36950.0,31019.0,1145.0,43390.0,방송과엔터테인먼트,2022-09-20,SBS,034120,2600.0,466.0,,17.93,,,,,,1879.0,19.32,,,,,,"6,717  억원",코스피 285위,18252582,"5,000원  l  1주",0,0,0.00%,"4.00매수  l  62,200","61,500  l  36,050","4.74배  l  7,758원","4.00배  l  9,545원","0.89배  l  41,353원",,31.95배,+1.39%,2.72%,,,,,,
CJ CGV,18550.0,250.0,+1.37%,18500.0,18550.0,99728.0,1846.0,154836.0,방송과엔터테인먼트,2022-09-20,CJ CGV,079160,3653.0,241.0,,6.59,,,,,,-147.0,-124.81,,,,,,"8,850  억원",코스피 235위,47707887,500원  l  1주,47707887,2437663,5.11%,"3.75매수  l  28,125","33,700  l  18,200","N/A  l  -6,721원","-6.00배  l  -3,226원","17.35배  l  1,069원",,31.95배,+1.39%,,,,,,,
스카이라이프,8490.0,110.0,+1.31%,8490.0,8530.0,38303.0,326.0,66016.0,방송과엔터테인먼트,2022-09-20,스카이라이프,053210,2545.0,162.0,102.0,6.38,3.99,,,,,261.0,32.06,,,,,,"4,060  억원",코스피 371위,47821966,"2,500원  l  1주",23432763,5696363,24.31%,"4.00매수  l  13,000","10,600  l  7,780","7.13배  l  1,190원","6.00배  l  1,328원","0.49배  l  17,208원",,31.95배,+1.39%,4.12%,,,,,,
SM Life Design *,2475.0,30.0,+1.23%,2475.0,2480.0,5822271.0,14741.0,2359279.0,방송과엔터테인먼트,2022-09-20,SM Life Design,063440,,,,,,,,,,,,,,,,,"1,132  억원",코스닥 750위,45729154,500원  l  1주,45729154,62842,0.14%,N/A  l  N/A,"3,910  l  1,820",N/A  l  -27원,N/A  l  N/A,"2.30배  l  1,077원",,31.95배,+1.39%,,,,,,,
YG PLUS,5420.0,60.0,+1.12%,5400.0,5420.0,311533.0,1680.0,488753.0,방송과엔터테인먼트,2022-09-20,YG PLUS,037270,,,,,,,,,,,,,,,,,"3,438  억원",코스피 424위,63429410,500원  l  1주,63429410,524966,0.83%,N/A  l  N/A,"10,950  l  4,260",13.97배  l  388원,N/A  l  N/A,"2.50배  l  2,170원",,31.95배,+1.39%,,,,,,,
티와이홀딩스우,14350.0,150.0,+1.06%,14350.0,14500.0,511.0,7.0,2058.0,방송과엔터테인먼트,2022-09-20,티와이홀딩스우,36328K,810.0,10.0,306.0,1.23,37.78,,,,,586.0,25.07,,,,,,180  억원,코스피 1310위,1255338,500원  l  1주,1255338,2168,0.17%,"4.00매수  l  25,000","25,400  l  14,200","5.83배  l  2,461원",N/A  l  N/A,"0.36배  l  39,323원",,31.95배,+1.39%,,,,,,,
판타지오 *,596.0,6.0,+1.02%,596.0,597.0,301715.0,179.0,417434.0,방송과엔터테인먼트,2022-09-20,판타지오,032800,,,,,,,,,,,,,,,,,572  억원,코스닥 1230위,96046170,100원  l  1주,96046170,618088,0.64%,N/A  l  N/A,"1,114  l  570",N/A  l  -104원,N/A  l  N/A,1.45배  l  411원,,34.93배,+1.39%,,,,,,,
알비더블유 *,15850.0,150.0,+0.96%,15850.0,16000.0,19860.0,318.0,46598.0,방송과엔터테인먼트,2022-09-20,알비더블유,361570,,,,,,,,,,,,,,,,,"1,519  억원",코스닥 575위,9582193,500원  l  1주,9582193,61296,0.64%,N/A  l  N/A,"55,600  l  12,500",,N/A  l  N/A,,,31.95배,+1.39%,,"15.82배  l  1,002원","2.60배  l  6,085원",,,,
스튜디오드래곤 *,70400.0,600.0,+0.86%,70300.0,70400.0,35281.0,2479.0,64258.0,방송과엔터테인먼트,2022-09-20,스튜디오드래곤,253450,1583.0,212.0,170.0,13.38,10.77,,,,,577.0,120.96,,,,,,"2조  1,130  억원",코스닥 11위,30014185,500원  l  1주,30014185,3328077,11.09%,"4.00매수  l  109,500","98,900  l  63,200","38.26배  l  1,840원","30.00배  l  2,361원","3.13배  l  22,458원",,31.95배,+1.39%,,,,,,,
NHN벅스 *,7340.0,60.0,+0.82%,7340.0,7370.0,335540.0,2576.0,102469.0,방송과엔터테인먼트,2022-09-20,NHN벅스,104200,,,,,,,,,,,,,,,,,"1,088  억원",코스닥 786위,14827550,500원  l  1주,14827550,355520,2.40%,N/A  l  N/A,"27,350  l  4,965",56.03배  l  131원,N/A  l  N/A,"1.34배  l  5,482원",,31.95배,+1.39%,,,,,,,
KNN *,995.0,8.0,+0.81%,995.0,996.0,738399.0,737.0,1643280.0,방송과엔터테인먼트,2022-09-20,KNN,058400,,,,,,,,,,,,,,,,,"1,318  억원",코스닥 666위,132429720,500원  l  1주,0,0,0.00%,N/A  l  N/A,"1,795  l  919",14.63배  l  68원,N/A  l  N/A,"0.64배  l  1,549원",,31.95배,+1.39%,2.01%,,,,,,
바른손이앤에이 *,1005.0,7.0,+0.70%,1005.0,1010.0,87538.0,88.0,309771.0,방송과엔터테인먼트,2022-09-20,바른손이앤에이,035620,,,,,,,,,,,,,,,,,748  억원,코스닥 1045위,74439675,500원  l  1주,74439675,1075874,1.45%,N/A  l  N/A,"2,295  l  993",N/A  l  -6원,N/A  l  N/A,"0.75배  l  1,337원",,31.95배,+1.39%,,,,,,,
CJ ENM *,87700.0,600.0,+0.69%,87700.0,87800.0,61527.0,5392.0,98572.0,방송과엔터테인먼트,2022-09-20,CJ ENM,035760,11520.0,705.0,468.0,6.12,4.06,,,,,2479.0,35.13,,,,,,"1조  9,232  억원",코스닥 14위,21929154,"5,000원  l  1주",10745285,4210100,39.18%,"3.93매수  l  142,267","191,600  l  87,100","27.13배  l  3,232원","22.00배  l  4,050원","0.51배  l  170,633원",,31.95배,+1.39%,2.39%,,,,,,
지니뮤직 *,4005.0,20.0,+0.50%,4005.0,4015.0,43566.0,175.0,116707.0,방송과엔터테인먼트,2022-09-20,지니뮤직,043610,,,,,,,,,,,,,,,,,"2,328  억원",코스닥 340위,58115438,500원  l  1주,58115438,496710,0.85%,N/A  l  N/A,"6,840  l  3,310",111.25배  l  36원,N/A  l  N/A,"1.55배  l  2,592원",,31.95배,+1.39%,,,,,,,
드림어스컴퍼니 *,3115.0,15.0,+0.48%,3100.0,3115.0,22923.0,71.0,23008.0,방송과엔터테인먼트,2022-09-20,드림어스컴퍼니,060570,,,,,,,,,,,,,,,,,"1,771  억원",코스닥 463위,56859847,500원  l  1주,56859847,1995693,3.51%,N/A  l  N/A,"6,440  l  3,000",6.28배  l  496원,N/A  l  N/A,"1.88배  l  1,661원",,31.95배,+1.39%,,,,,,,
SBS콘텐츠허브 *,6570.0,30.0,+0.46%,6540.0,6570.0,26834.0,178.0,39160.0,방송과엔터테인먼트,2022-09-20,SBS콘텐츠허브,046140,,,,,,,,,,,,,,,,,"1,410  억원",코스닥 622위,21463555,500원  l  1주,10517142,152083,1.45%,N/A  l  N/A,"9,250  l  5,590",9.39배  l  700원,N/A  l  N/A,"0.75배  l  8,730원",,31.95배,+1.39%,1.14%,,,,,,
에프엔씨엔터 *,5270.0,20.0,+0.38%,5190.0,5270.0,4512.0,24.0,735.0,방송과엔터테인먼트,2022-09-20,에프엔씨엔터,173940,,,,,,,,,,,,,,,,,801  억원,코스닥 1000위,15208397,500원  l  1주,15208397,72168,0.47%,N/A  l  N/A,"11,400  l  5,130",N/A  l  -425원,N/A  l  N/A,"1.37배  l  3,842원",,31.95배,+1.39%,,,,,,,
포바이포 *,15850.0,50.0,+0.32%,15800.0,15850.0,125734.0,2006.0,214196.0,방송과엔터테인먼트,2022-09-20,포바이포,389140,,,,,,,,,,,,,,,,,"1,621  억원",코스닥 520위,10224235,500원  l  1주,10224235,32088,0.31%,N/A  l  N/A,"54,800  l  15,700",,N/A  l  N/A,,,31.95배,+1.39%,,27.47배  l  577원,"2.45배  l  6,466원",,,,
스카이이앤엠 *,3105.0,10.0,+0.32%,3105.0,3110.0,5740.0,18.0,26631.0,방송과엔터테인먼트,2022-09-20,스카이이앤엠,131100,,,,,,,,,,,,,,,,,833  억원,코스닥 975위,26833204,500원  l  1주,26833204,0,0.00%,N/A  l  N/A,"7,200  l  2,465",,N/A  l  N/A,,,31.95배,+1.39%,,,,"N/A  l  -1,245원","1.08배  l  2,877원",,
KX *,7000.0,20.0,+0.29%,6990.0,7000.0,21857.0,152.0,37681.0,방송과엔터테인먼트,2022-09-20,KX,122450,,,,,,,,,,,,,,,,,"3,174  억원",코스닥 228위,45335964,500원  l  1주,22214622,309585,1.39%,N/A  l  N/A,"10,150  l  6,540",11.01배  l  636원,N/A  l  N/A,"1.27배  l  5,521원",,31.95배,+1.39%,,,,,,,
래몽래인 *,19850.0,50.0,+0.25%,19850.0,19900.0,20145.0,404.0,37872.0,방송과엔터테인먼트,2022-09-20,래몽래인,200350,,,,,,,,,,,,,,,,,"1,242  억원",코스닥 692위,6258519,500원  l  1주,6258519,13391,0.21%,N/A  l  N/A,"30,000  l  13,600",140.78배  l  141원,N/A  l  N/A,"2.84배  l  6,996원",,31.95배,+1.39%,,,,,,,
쇼박스 *,4850.0,5.0,+0.10%,4845.0,4850.0,423907.0,2079.0,504644.0,방송과엔터테인먼트,2022-09-20,쇼박스,086980,,,,,,,,,,,,,,,,,"3,038  억원",코스닥 240위,62638000,500원  l  1주,62638000,640914,1.02%,N/A  l  N/A,"7,960  l  4,175",151.56배  l  32원,N/A  l  N/A,"2.23배  l  2,172원",,31.95배,+1.39%,,,,,,,
갤럭시아에스엠,1950.0,0.0,0.00%,1950.0,1955.0,191264.0,376.0,373826.0,방송과엔터테인먼트,2022-09-20,갤럭시아에스엠,011420,,,,,,,,,,,,,,,,,537  억원,코스피 1013위,27549644,500원  l  1주,27549644,14574,0.05%,N/A  l  N/A,"3,775  l  1,475",10.48배  l  186원,N/A  l  N/A,"1.62배  l  1,206원",,31.95배,+1.39%,,,,,,,
아센디오,1095.0,0.0,0.00%,1095.0,1100.0,107270.0,117.0,238625.0,방송과엔터테인먼트,2022-09-20,아센디오,012170,,,,,,,,,,,,,,,,,882  억원,코스피 864위,80509196,500원  l  1주,80509196,0,0.00%,N/A  l  N/A,"3,450  l  1,005",N/A  l  -111원,N/A  l  N/A,2.11배  l  519원,,31.95배,+1.39%,,,,,,,
하이브,157500.0,0.0,0.00%,157500.0,158000.0,116279.0,18431.0,293981.0,방송과엔터테인먼트,2022-09-20,하이브,352820,4069.0,594.0,484.0,14.61,11.89,,,,,1243.0,126.71,,,,,,"6조  5,132  억원",코스피 50위,41353387,500원  l  1주,41353387,6378345,15.42%,"4.00매수  l  255,048","421,500  l  138,000","27.75배  l  5,675원","31.00배  l  5,096원","2.09배  l  75,283원",,31.95배,+1.39%,,,,,,,
아리온 *,275.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,방송과엔터테인먼트,2022-09-20,아리온,058220,,,,,,,,,,,,,,,,,107  억원,코스닥 1548위,38974244,500원  l  1주,38974244,1156555,2.97%,N/A  l  N/A,0  l  0,,N/A  l  N/A,,,31.95배,+1.39%,,,,,,"N/A  l  -18,072원","N/A  l  -8,399원"
제이웨이 *,2160.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,방송과엔터테인먼트,2022-09-20,제이웨이,058420,,,,,,,,,,,,,,,,,78  억원,코스닥 1569위,3610839,500원  l  1주,3610839,0,0.00%,N/A  l  N/A,0  l  0,"N/A  l  -1,432원",N/A  l  N/A,"N/A  l  -1,040원",,31.95배,+1.39%,,,,,,,
에이스토리 *,22600.0,0.0,0.00%,22600.0,22650.0,65991.0,1490.0,112079.0,방송과엔터테인먼트,2022-09-20,에이스토리,241840,,,,,,,,,,,,,,,,,"2,156  억원",코스닥 379위,9539994,500원  l  1주,9539994,112210,1.18%,N/A  l  N/A,"50,300  l  16,050","17.19배  l  1,315원",N/A  l  N/A,"3.45배  l  6,543원",,31.95배,+1.39%,,,,,,,
레드로버 *,1830.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,방송과엔터테인먼트,2022-09-20,레드로버,060300,,,,,,,,,,,,,,,,,535  억원,코스닥 1265위,29231297,500원  l  1주,29231297,1276530,4.37%,N/A  l  N/A,0  l  0,N/A  l  -581원,N/A  l  N/A,6.54배  l  280원,,31.95배,+1.39%,,,,,,,
씨씨에스 *,494.0,0.0,0.00%,493.0,494.0,322430.0,165.0,91546.0,방송과엔터테인먼트,2022-09-20,씨씨에스,066790,,,,,,,,,,,,,,,,,277  억원,코스닥 1485위,56025056,500원  l  1주,27452277,162018,0.59%,N/A  l  N/A,"1,200  l  488",N/A  l  -3원,N/A  l  N/A,1.04배  l  474원,,31.95배,+1.39%,,,,,,,
초록뱀컴퍼니 *,681.0,2.0,-0.29%,681.0,684.0,194923.0,133.0,339793.0,방송과엔터테인먼트,2022-09-20,초록뱀컴퍼니,052300,,,,,,,,,,,,,,,,,784  억원,코스닥 1015위,115080002,500원  l  1주,115080002,702369,0.61%,N/A  l  N/A,"1,880  l  665",1.11배  l  614원,N/A  l  N/A,"0.29배  l  2,372원",,31.95배,+1.39%,,,,,,,
티와이홀딩스,14600.0,100.0,-0.68%,14550.0,14600.0,31751.0,462.0,63460.0,방송과엔터테인먼트,2022-09-20,티와이홀딩스,363280,810.0,10.0,306.0,1.23,37.78,,,,,586.0,25.07,,,,,,"7,436  억원",코스피 270위,50929268,500원  l  1주,50929268,2958203,5.81%,"4.00매수  l  25,000","29,200  l  14,450","5.93배  l  2,461원",N/A  l  N/A,"0.37배  l  39,323원",,31.95배,+1.39%,,,,,,,
와이지엔터테인먼트 *,51900.0,600.0,-1.14%,51900.0,52000.0,299066.0,15631.0,395513.0,방송과엔터테인먼트,2022-09-20,와이지엔터테인먼트,122870,1243.0,202.0,147.0,16.25,11.79,,,,,640.0,82.03,,,,,,"9,679  억원",코스닥 50위,18648709,500원  l  1주,18648709,1482315,7.95%,"4.00매수  l  78,941","75,800  l  41,750",114.07배  l  455원,"29.00배  l  1,812원","2.50배  l  20,751원",,31.95배,+1.39%,0.48%,,,,,,
코퍼스코리아 *,2150.0,30.0,-1.38%,2150.0,2170.0,175773.0,382.0,74907.0,방송과엔터테인먼트,2022-09-20,코퍼스코리아,322780,,,,,,,,,,,,,,,,,769  억원,코스닥 1026위,35755674,100원  l  1주,35755674,130712,0.37%,N/A  l  N/A,"4,190  l  2,005",16.41배  l  131원,N/A  l  N/A,"1.56배  l  1,376원",,31.95배,+1.39%,0.70%,,,,,,
콘텐트리중앙,34000.0,650.0,-1.88%,34000.0,34100.0,142798.0,4891.0,174374.0,방송과엔터테인먼트,2022-09-20,콘텐트리중앙,036420,2538.0,126.0,41.0,4.98,1.6,,,,,436.0,79.56,,,,,,"6,519  억원",코스피 292위,19172319,"5,000원  l  1주",5751695,266442,4.63%,"4.00매수  l  58,458","85,900  l  32,200","N/A  l  -1,856원",-87.00배  l  -390원,"3.86배  l  8,808원",,31.95배,+1.39%,,,,,,,
스튜디오산타클로스 *,7160.0,200.0,-2.72%,7140.0,7160.0,98701.0,715.0,81067.0,방송과엔터테인먼트,2022-09-20,스튜디오산타클로스,204630,,,,,,,,,,,,,,,,,739  억원,코스닥 1053위,10324760,500원  l  1주,10324760,0,0.00%,N/A  l  N/A,"24,600  l  6,350",70.89배  l  101원,N/A  l  N/A,"1.01배  l  7,089원",,31.95배,+1.39%,,,,,,,
